City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,2021-04-25 14:07:59,-23.1203,-134.9692,77.14,76,60,6.82,light rain
1,Dikson,RU,2021-04-25 14:06:53,73.5069,80.5464,18.09,88,100,10.51,overcast clouds
2,Vaini,TO,2021-04-25 14:07:59,-21.2,-175.2,73.4,100,75,1.14,light rain
3,Faanui,PF,2021-04-25 14:08:00,-16.4833,-151.75,80.4,67,6,4.32,clear sky
4,Chicama,PE,2021-04-25 14:08:00,-7.8447,-79.1469,62.6,94,75,6.91,broken clouds
5,Arraial Do Cabo,BR,2021-04-25 14:07:07,-22.9661,-42.0278,78.8,78,20,2.3,few clouds
6,Qaanaaq,GL,2021-04-25 14:08:01,77.484,-69.3632,28.6,74,61,4.45,broken clouds
7,Papara,BR,2021-04-25 14:08:01,-3.9839,-38.7273,86.0,70,40,13.8,scattered clouds
8,The Valley,AI,2021-04-25 14:08:02,18.217,-63.0578,80.6,65,40,14.97,scattered clouds
9,Busselton,AU,2021-04-25 14:08:02,-33.65,115.3333,61.0,90,2,4.07,clear sky
10,Upernavik,GL,2021-04-25 14:08:02,72.7868,-56.1549,34.39,80,28,6.73,scattered clouds
11,Alofi,NU,2021-04-25 14:08:03,-19.0595,-169.9187,69.8,100,93,1.14,light rain
12,Bluff,NZ,2021-04-25 14:08:03,-46.6,168.3333,41.0,83,81,8.01,broken clouds
13,Ayan,RU,2021-04-25 14:08:03,56.45,138.1667,23.13,84,22,5.61,few clouds
14,Kotma,IN,2021-04-25 14:08:04,23.2,81.9667,83.95,11,3,9.48,clear sky
15,Mecca,SA,2021-04-25 14:08:04,21.4267,39.8261,94.96,25,4,16.11,clear sky
16,Port Elizabeth,ZA,2021-04-25 14:03:17,-33.918,25.5701,69.8,64,0,8.05,clear sky
17,Hithadhoo,MV,2021-04-25 14:08:05,-0.6,73.0833,83.57,66,51,5.41,broken clouds
18,Dunedin,NZ,2021-04-25 14:08:06,-45.8742,170.5036,48.0,41,69,13.0,broken clouds
19,Avarua,CK,2021-04-25 14:08:06,-21.2078,-159.775,75.2,88,94,12.66,light rain
20,Ushuaia,AR,2021-04-25 14:08:07,-54.8,-68.3,46.4,71,75,6.91,light rain
21,Mazagao,BR,2021-04-25 14:03:50,-0.115,-51.2894,87.8,70,40,8.05,scattered clouds
22,Atuona,PF,2021-04-25 14:06:45,-9.8,-139.0333,79.48,78,72,20.07,broken clouds
23,Najran,SA,2021-04-25 14:08:08,17.4924,44.1277,95.0,16,40,4.61,scattered clouds
24,Zhezkazgan,KZ,2021-04-25 14:08:08,47.8043,67.7144,60.55,40,9,11.45,clear sky
25,Mizdah,LY,2021-04-25 14:08:08,31.4451,12.9801,75.4,21,53,5.64,broken clouds
26,Hilo,US,2021-04-25 14:05:23,19.7297,-155.09,69.8,78,20,5.75,light rain
27,Saskylakh,RU,2021-04-25 14:08:09,71.9167,114.0833,14.76,90,100,10.11,overcast clouds
28,General Pico,AR,2021-04-25 14:08:09,-35.6566,-63.7568,57.22,58,0,4.18,clear sky
29,Alice Springs,AU,2021-04-25 14:05:19,-23.7,133.8833,53.6,47,0,7.72,clear sky
30,Chokurdakh,RU,2021-04-25 14:08:10,70.6333,147.9167,14.32,93,100,11.41,overcast clouds
31,Zhicheng,CN,2021-04-25 14:08:11,30.2956,111.5047,60.01,83,100,6.35,light rain
32,Pevek,RU,2021-04-25 14:08:12,69.7008,170.3133,19.18,95,100,11.56,light snow
33,Tiksi,RU,2021-04-25 14:08:13,71.6872,128.8694,23.18,96,100,5.44,overcast clouds
34,Jamestown,US,2021-04-25 14:05:50,42.097,-79.2353,48.0,93,90,8.05,mist
35,Boshnyakovo,RU,2021-04-25 14:08:13,49.6333,142.1667,25.61,83,100,4.16,overcast clouds
36,Punta Arenas,CL,2021-04-25 14:08:13,-53.15,-70.9167,46.4,76,40,10.36,scattered clouds
37,Kang,BW,2021-04-25 14:08:14,-23.6752,22.7876,82.2,14,0,3.27,clear sky
38,Iwaki,JP,2021-04-25 14:07:28,37.05,140.8833,48.0,54,15,5.01,few clouds
39,Lebu,CL,2021-04-25 14:08:14,-37.6167,-73.65,57.9,76,0,11.27,clear sky
40,Clyde River,CA,2021-04-25 14:08:15,70.4692,-68.5914,15.8,100,20,11.5,few clouds
41,Leshukonskoye,RU,2021-04-25 14:08:15,64.8989,45.7622,42.84,86,100,5.59,overcast clouds
42,San Policarpo,PH,2021-04-25 14:08:16,12.1791,125.5072,78.94,79,81,10.47,broken clouds
43,Sovetskiy,RU,2021-04-25 14:08:16,61.3614,63.5842,49.86,42,100,9.89,overcast clouds
44,Camana,PE,2021-04-25 14:08:16,-16.6228,-72.7111,68.92,79,47,9.64,scattered clouds
45,Long Beach,US,2021-04-25 14:04:47,33.767,-118.1892,57.99,72,90,3.44,overcast clouds
46,Kruisfontein,ZA,2021-04-25 14:08:17,-34.0033,24.7314,81.37,36,100,3.42,overcast clouds
47,Mar Del Plata,AR,2021-04-25 14:06:19,-38.0023,-57.5575,63.0,72,40,16.11,scattered clouds
48,Dongsheng,CN,2021-04-25 14:08:18,39.8161,109.9776,46.74,79,100,16.13,overcast clouds
49,Kozhva,RU,2021-04-25 14:08:18,65.1073,57.0459,45.82,72,100,11.65,overcast clouds
50,Norman Wells,CA,2021-04-25 14:08:19,65.282,-126.8329,26.6,68,40,12.66,scattered clouds
51,Mataura,NZ,2021-04-25 14:08:19,-46.1927,168.8643,41.0,83,25,8.01,scattered clouds
52,Sorland,NO,2021-04-25 14:08:19,67.667,12.6934,39.2,70,75,6.91,broken clouds
53,Diego De Almagro,CL,2021-04-25 14:08:20,-26.3667,-70.05,64.9,44,0,3.49,clear sky
54,Barrow,US,2021-04-25 14:08:20,71.2906,-156.7887,10.4,85,20,13.8,few clouds
55,Albany,US,2021-04-25 14:08:21,42.6001,-73.9662,53.01,73,100,3.29,overcast clouds
56,Itarema,BR,2021-04-25 14:08:21,-2.9248,-39.9167,84.74,67,99,10.8,overcast clouds
57,Nikolskoye,RU,2021-04-25 14:08:21,59.7035,30.7861,39.99,87,90,15.66,overcast clouds
58,Saint-Joseph,RE,2021-04-25 14:08:22,-21.3667,55.6167,80.6,69,40,26.46,light rain
59,Mareeba,AU,2021-04-25 14:08:22,-17.0,145.4333,75.2,94,75,9.22,broken clouds
60,Butaritari,KI,2021-04-25 14:08:23,3.0707,172.7902,81.59,78,40,11.48,light rain
61,Saint-Philippe,RE,2021-04-25 14:08:23,-21.3585,55.7679,80.6,69,40,26.46,light rain
62,Bubaque,GW,2021-04-25 14:08:23,11.2833,-15.8333,78.55,51,28,6.62,scattered clouds
63,Kavieng,PG,2021-04-25 14:08:24,-2.5744,150.7967,82.26,77,94,6.58,overcast clouds
64,Port Alfred,ZA,2021-04-25 14:08:24,-33.5906,26.891,76.66,56,97,16.11,overcast clouds
65,Tuy Hoa,VN,2021-04-25 14:08:24,13.0833,109.3,79.65,85,49,2.44,scattered clouds
66,Hobart,AU,2021-04-25 14:08:25,-42.8794,147.3294,57.2,62,40,14.97,scattered clouds
67,Isla Mujeres,MX,2021-04-25 14:08:25,21.2311,-86.731,84.2,70,40,11.5,scattered clouds
68,Kapaa,US,2021-04-25 14:08:26,22.0752,-159.319,73.4,78,20,12.66,few clouds
69,Saint George,US,2021-04-25 14:08:26,37.1041,-113.5841,64.0,27,1,8.05,clear sky
70,Pisco,PE,2021-04-25 14:08:26,-13.7,-76.2167,66.2,94,75,6.02,broken clouds
71,Waipawa,NZ,2021-04-25 14:08:27,-41.4122,175.5153,57.2,72,90,17.27,overcast clouds
72,Tuktoyaktuk,CA,2021-04-25 14:08:27,69.4541,-133.0374,10.4,92,90,10.36,light snow
73,Ribeira Grande,PT,2021-04-25 14:08:27,38.5167,-28.7,64.4,68,40,6.91,scattered clouds
74,Airai,TL,2021-04-25 14:08:28,-8.9266,125.4092,56.79,87,44,2.37,scattered clouds
75,Cuencame,MX,2021-04-25 14:08:29,24.8711,-103.6964,67.06,16,6,5.28,clear sky
76,Hermanus,ZA,2021-04-25 14:08:29,-34.4187,19.2345,67.59,68,100,4.54,overcast clouds
